,Te,Tint_moy,ΔT,Irr,Ptot
2023-02-01 09:00:00,6.63305555555555,19.99285714285714,13.35980158730159,8.942550505050496,2347.0
2023-02-01 10:00:00,7.28944444444444,19.99857142857143,12.709126984126991,53.69289485766757,2377.0
2023-02-01 11:00:00,8.08444444444444,19.99571428571429,11.91126984126985,76.63710973370061,2356.0
2023-02-01 12:00:00,8.53972222222222,20.002857142857145,11.463134920634925,169.58935950413223,2347.0
2023-02-01 13:00:00,9.25416666666666,20.00714285714286,10.7529761904762,202.79872589531607,2342.36
2023-02-01 14:00:00,9.80694444444444,20.014285714285712,10.207341269841272,202.6397497704308,2277.0
2023-02-01 15:00:00,9.4975,20.002857142857145,10.505357142857145,62.35164141414132,2231.0
2023-02-01 16:00:00,9.60777777777777,20.02285714285714,10.415079365079372,68.82030532598709,2196.0
2023-02-01 17:00:00,9.71166666666666,20.012857142857143,10.301190476190483,58.08626033057851,2188.0
2023-02-01 18:00:00,9.53249999999999,20.004285714285714,10.471785714285724,17.45953856749308,2131.0
2023-02-01 19:00:00,9.27055555555555,19.98857142857143,10.71801587301588,-1.0827020202020143,2126.0
2023-02-01 20:00:00,8.60638888888888,19.99571428571429,11.38932539682541,-2.790117079889804,2144.0
2023-02-01 21:00:00,8.46861111111111,20.01,11.541388888888891,-1.7231978879706096,2159.0
2023-02-01 22:00:00,8.16833333333333,20.00857142857143,11.8402380952381,-1.6500229568411364,2178.0
2023-02-01 23:00:00,8.27222222222222,20.01285714285714,11.74063492063492,-1.100206611570248,2175.0
2023-02-02 00:00:00,7.97138888888888,20.02142857142857,12.050039682539689,-1.9243572084481095,2181.0
2023-02-02 01:00:00,7.48694444444444,19.99142857142857,12.504484126984131,-2.324954086317717,2162.0
2023-02-02 02:00:00,6.82361111111111,20.0,13.17638888888889,-2.6825068870523348,2204.0
2023-02-02 03:00:00,6.55111111111111,19.99571428571429,13.444603174603179,-2.3958333333333264,2224.0
2023-02-02 04:00:00,6.34166666666666,20.0,13.65833333333334,-2.397555096418729,2282.0
2023-02-02 05:00:00,6.19555555555555,19.99571428571429,13.800158730158739,-2.065828741965104,2287.0
2023-02-02 06:00:00,6.66666666666666,19.99142857142857,13.32476190476191,-0.0324265381083562,2303.0
2023-02-02 07:00:00,6.95555555555555,19.99428571428572,13.03873015873017,-0.3168044077134979,2335.0
2023-02-02 08:00:00,7.10416666666666,19.998571428571427,12.894404761904767,-0.3848140495867769,2331.0
2023-02-02 09:00:00,7.37027777777777,20.00714285714286,12.63686507936509,4.028925619834711,2351.0
2023-02-02 10:00:00,7.3625,19.998571428571427,12.636071428571427,20.429866850321385,2319.0
2023-02-02 11:00:00,8.1375,19.988571428571426,11.851071428571426,53.53277089072541,2304.0
2023-02-02 12:00:00,8.98583333333333,19.99142857142857,11.00559523809524,94.16896235078048,2291.0
2023-02-02 13:00:00,9.55361111111111,19.988571428571426,10.434960317460316,153.96034205693286,2275.0
2023-02-02 14:00:00,9.97222222222222,20.00857142857143,10.03634920634921,143.04264233241426,2252.0
2023-02-02 15:00:00,9.87555555555555,20.01571428571429,10.140158730158738,76.9593663911845,2206.0
2023-02-02 16:00:00,9.88527777777777,20.02285714285714,10.137579365079372,53.12442607897148,2176.0
2023-02-02 17:00:00,10.0052777777777,20.02428571428572,10.019007936508022,37.14474288337924,2148.0
2023-02-02 18:00:00,9.8575,20.017142857142854,10.159642857142854,4.201962809917356,2083.0
2023-02-02 19:00:00,9.77055555555555,19.992857142857144,10.222301587301594,-0.5635904499540858,2081.0
2023-02-02 20:00:00,9.56833333333333,20.03428571428572,10.46595238095239,-0.6892791551882459,2091.0
2023-02-02 21:00:00,9.58305555555555,20.025714285714287,10.442658730158737,-0.5363292011019277,2052.0
2023-02-02 22:00:00,9.4125,20.030000000000005,10.617500000000005,-0.656565656565656,2089.0
